Year,Date,day,Airline ID,Origin Airport ID,Destination Airport ID,Scheduled Departure time,Actual Departure Time,,Departure delayed ,Scheduled Arrival Time,Actual Arrival Time,Arrival delayed ,Cancelled,Carrier Delay,Weather Delay,Airport Authority Delay,Security Delay,Late Aircraft Delay,
2013,3/2/2013, 2 ,19790,11292,12478,0050,0039,=LEFT(G2),1,0632,0626,1,0,,,,,,
2013,3/26/2013, 26 ,20409,11292,12478,0050,0041,,1,0625,0620,1,0,,,,,,
2013,3/30/2013, 30 ,20409,11292,12478,0050,0042,,1,0625,0615,1,0,,,,,,
2013,3/22/2013, 22 ,20409,11292,12478,0050,0043,,1,0625,0617,1,0,,,,,,643
2013,3/2/2013, 2 ,20409,11292,12478,0050,0044,,1,0625,0622,1,0,,,,,,
2013,3/7/2013, 7 ,20409,11292,12478,0050,0044,,1,0625,0614,1,0,,,,,,
2013,3/27/2013, 27 ,20409,11292,12478,0050,0044,,1,0625,0610,1,0,,,,,,
2013,3/4/2013, 4 ,20409,11292,12478,0050,0045,,1,0625,0609,1,0,,,,,,625
2013,3/6/2013, 6 ,20409,11292,12478,0050,0045,,1,0625,0621,1,0,,,,,,
2013,3/14/2013, 14 ,20409,11292,12478,0050,0045,,1,0625,0609,1,0,,,,,,
2013,3/25/2013, 25 ,20409,11292,12478,0050,0046,,1,0625,0642,1,0,0,0,17,0,0,
2013,3/16/2013, 16 ,20409,11292,12478,0050,0047,,1,0625,0600,1,0,,,,,,
2013,3/28/2013, 28 ,20409,11292,12478,0050,0047,,1,0625,0612,1,0,,,,,,
2013,3/3/2013, 3 ,20409,11292,12478,0050,0048,,1,0625,0618,1,0,,,,,,
2013,3/5/2013, 5 ,20409,11292,12478,0050,0048,,1,0625,0621,1,0,,,,,,625
2013,3/13/2013, 13 ,20409,11292,12478,0050,0048,,1,0625,0627,1,0,,,,,,625
2013,3/31/2013, 31 ,20409,11292,12478,0050,0048,,1,0627,0610,1,0,,,,,,
2013,3/12/2013, 12 ,20409,11292,12478,0050,0051,,1,0625,0647,1,0,1,0,21,0,0,
2013,3/20/2013, 20 ,20409,11292,12478,0050,0051,,1,0625,0631,1,0,,,,,,
2013,3/21/2013, 21 ,20409,11292,12478,0050,0051,,1,0625,0614,1,0,,,,,,
2013,3/8/2013, 8 ,20409,11292,12478,0050,0052,,1,0625,0637,1,0,,,,,,
2013,3/29/2013, 29 ,20409,11292,12478,0050,0054,,1,0625,0629,1,0,,,,,,
2013,3/15/2013, 15 ,20409,11292,12478,0050,0057,,1,0625,0622,1,0,,,,,,
2013,3/18/2013, 18 ,20409,11292,12478,0050,0057,,1,0625,0617,1,0,,,,,,
2013,3/11/2013, 11 ,20409,11292,12478,0050,0059,,1,0625,0640,1,0,9,0,6,0,0,
2013,3/17/2013, 17 ,20409,11292,12478,0050,0102,,1,0625,0603,1,0,,,,,,
2013,3/23/2013, 23 ,20409,11292,12478,0050,0113,,1,0625,0706,1,0,22,0,18,0,1,
2013,3/24/2013, 24 ,20409,11292,12478,0050,0122,,1,0625,0637,1,0,,,,,,
2013,3/10/2013, 10 ,20409,11292,12478,0050,0144,,1,0725,0822,1,0,6,0,3,0,48,
2013,3/1/2013, 1 ,20409,11292,12478,0050,0204,,1,0625,0751,1,0,74,0,12,0,0,
2013,3/9/2013, 9 ,20409,11292,12478,0050,0207,,1,0625,0738,1,0,20,0,0,0,53,
2013,3/19/2013, 19 ,20409,11292,12478,0050,0329,,1,0625,0847,1,0,0,0,0,0,142,
2013,3/31/2013, 31 ,20409,14843,12478,0325,0310,,1,0718,0654,1,0,,,,,,
2013,3/29/2013, 29 ,20409,14843,12478,0330,0317,,1,0732,0703,1,0,,,,,,
2013,3/16/2013, 16 ,20409,14843,12478,0330,0323,,1,0732,0724,1,0,,,,,,
2013,3/18/2013, 18 ,20409,14843,12478,0330,0325,,1,0732,0724,1,0,,,,,,
